epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,286.783,0.176,0.29879,0.89179,0.88519,1,0.98625,0.98625,0.21042,0.37665,0.56037,0.00132043,0.00132043,0.00132043
44,291.514,0.2009,0.34179,0.86974,0.92159,1,0.995,0.995,0.26921,0.40024,0.5857,0.00131218,0.00131218,0.00131218
45,296.747,0.1895,0.32312,0.89128,0.98852,1,0.995,0.995,0.27156,0.34184,0.58855,0.00130393,0.00130393,0.00130393
46,301.907,0.18615,0.33864,0.8956,0.98571,1,0.995,0.995,0.24314,0.37628,0.58346,0.00129568,0.00129568,0.00129568
47,307.283,0.19739,0.35121,0.86043,0.99093,1,0.995,0.995,0.26811,0.25145,0.58965,0.00128742,0.00128742,0.00128742
48,312.375,0.1771,0.3285,0.88142,0.9776,1,0.995,0.995,0.23672,0.30462,0.56972,0.00127917,0.00127917,0.00127917
49,317.919,0.1997,0.30353,0.90474,0.97079,1,0.995,0.995,0.2389,0.29229,0.58593,0.00127092,0.00127092,0.00127092
50,323.674,0.16634,0.31657,0.86054,0.99009,1,0.995,0.995,0.26526,0.32625,0.59709,0.00126267,0.00126267,0.00126267
51,328.521,0.17849,0.31445,0.88169,0.99376,1,0.995,0.995,0.22464,0.26185,0.57032,0.00125442,0.00125442,0.00125442
52,333.361,0.17441,0.32225,0.88797,0.9939,1,0.995,0.995,0.20722,0.26591,0.56485,0.00124617,0.00124617,0.00124617
53,338.93,0.19047,0.33208,0.87911,0.98656,1,0.995,0.995,0.20846,0.32133,0.58455,0.00123791,0.00123791,0.00123791
54,343.546,0.17365,0.30714,0.88094,0.92479,1,0.995,0.995,0.24847,0.60376,0.60811,0.00122966,0.00122966,0.00122966
55,348.723,0.17751,0.33627,0.89172,0.93263,1,0.995,0.96047,0.34359,0.52728,0.71403,0.00122141,0.00122141,0.00122141
56,353.936,0.1593,0.29566,0.87067,0.98757,1,0.995,0.9575,0.37168,0.42269,0.75441,0.00121316,0.00121316,0.00121316
57,360.537,0.17556,0.31239,0.84969,0.98306,1,0.995,0.97444,0.29442,0.44894,0.66703,0.00120491,0.00120491,0.00120491
58,365.743,0.15371,0.2472,0.88238,0.99302,1,0.995,0.995,0.20898,0.29978,0.58359,0.00119666,0.00119666,0.00119666
59,373.021,0.16512,0.26003,0.88439,0.98673,1,0.995,0.995,0.17796,0.28185,0.5452,0.0011884,0.0011884,0.0011884
60,379.274,0.16057,0.29765,0.87505,0.99412,1,0.995,0.995,0.16778,0.23379,0.5323,0.00118015,0.00118015,0.00118015
61,385.609,0.1605,0.2518,0.88186,0.99228,1,0.995,0.995,0.15884,0.23234,0.53182,0.0011719,0.0011719,0.0011719
62,391.532,0.16899,0.30132,0.89914,0.9082,0.99532,0.995,0.995,0.16639,0.31133,0.5301,0.00116365,0.00116365,0.00116365
63,397.238,0.1473,0.30399,0.88347,0.74635,0.94977,0.995,0.995,0.16324,0.64902,0.50862,0.0011554,0.0011554,0.0011554
64,403.155,0.14441,0.30413,0.8571,0.79983,0.99411,0.995,0.995,0.17187,0.44828,0.518,0.00114715,0.00114715,0.00114715
65,409.22,0.15653,0.282,0.87734,0.99318,1,0.995,0.995,0.18724,0.24031,0.54412,0.00113889,0.00113889,0.00113889
66,415.028,0.15668,0.26117,0.87488,0.99216,1,0.995,0.995,0.21097,0.25179,0.58058,0.00113064,0.00113064,0.00113064
67,420.799,0.17199,0.29895,0.88827,0.98997,1,0.995,0.98227,0.24065,0.31139,0.63319,0.00112239,0.00112239,0.00112239
68,426.606,0.15093,0.30883,0.89337,0.92208,1,0.995,0.97803,0.30432,0.40769,0.7083,0.00111414,0.00111414,0.00111414
69,432.478,0.15925,0.29702,0.87816,0.97281,1,0.995,0.96224,0.35877,0.57551,0.75832,0.00110589,0.00110589,0.00110589
70,438.178,0.16529,0.27815,0.88495,0.98958,1,0.995,0.95132,0.28784,0.64056,0.69334,0.00109764,0.00109764,0.00109764
71,443.612,0.16004,0.2737,0.87061,0.95857,0.91686,0.995,0.90941,0.36375,0.65569,0.76458,0.00108938,0.00108938,0.00108938
72,449.031,0.14855,0.28324,0.88003,0.8184,1,0.995,0.95029,0.2438,0.65315,0.61118,0.00108113,0.00108113,0.00108113
73,454.794,0.15786,0.24178,0.86207,0.98484,1,0.995,0.995,0.15224,0.25886,0.51899,0.00107288,0.00107288,0.00107288
74,459.222,0.16212,0.25588,0.88337,0.99356,1,0.995,0.995,0.16001,0.24979,0.5235,0.00106463,0.00106463,0.00106463
75,464.599,0.1553,0.26168,0.90033,0.99296,1,0.995,0.995,0.13996,0.23782,0.52018,0.00105638,0.00105638,0.00105638
76,470.56,0.13778,0.25922,0.8677,0.99143,1,0.995,0.995,0.17154,0.24658,0.5512,0.00104813,0.00104813,0.00104813
77,476.222,0.16892,0.25973,0.89207,0.98927,1,0.995,0.995,0.18965,0.24536,0.57081,0.00103987,0.00103987,0.00103987
78,481.805,0.16613,0.26027,0.89124,0.92924,1,0.995,0.995,0.18307,0.37287,0.56944,0.00103162,0.00103162,0.00103162
79,487.742,0.15552,0.25135,0.86482,0.85596,1,0.995,0.995,0.17987,0.50981,0.56483,0.00102337,0.00102337,0.00102337
80,493.522,0.15752,0.26578,0.86785,0.96937,1,0.995,0.995,0.20023,0.4326,0.58507,0.00101512,0.00101512,0.00101512
81,499.195,0.15685,0.25298,0.86099,0.98093,1,0.995,0.995,0.19182,0.33025,0.56991,0.00100687,0.00100687,0.00100687
82,505.198,0.15424,0.2842,0.87687,0.98624,1,0.995,0.995,0.18962,0.28324,0.55087,0.000998616,0.000998616,0.000998616
83,510.793,0.14087,0.2749,0.8969,0.99316,1,0.995,0.995,0.16346,0.19904,0.53188,0.000990365,0.000990365,0.000990365
84,516.421,0.15444,0.28937,0.8836,0.99262,1,0.995,0.995,0.16224,0.19553,0.53056,0.000982113,0.000982113,0.000982113
85,522.488,0.17313,0.28025,0.87756,0.99147,1,0.995,0.995,0.17285,0.20888,0.54793,0.000973861,0.000973861,0.000973861
86,528.213,0.16414,0.24559,0.85552,0.98846,1,0.995,0.995,0.19017,0.2229,0.56205,0.00096561,0.00096561,0.00096561
87,533.934,0.13615,0.22751,0.85636,0.9919,1,0.995,0.995,0.17826,0.22921,0.55401,0.000957358,0.000957358,0.000957358
88,539.837,0.15674,0.24713,0.8727,0.99006,1,0.995,0.995,0.16022,0.20006,0.54482,0.000949106,0.000949106,0.000949106
89,545.379,0.15282,0.23822,0.87224,0.97905,1,0.995,0.995,0.14866,0.24046,0.52724,0.000940855,0.000940855,0.000940855
90,550.938,0.14845,0.23868,0.87262,0.99169,1,0.995,0.995,0.14422,0.19273,0.51438,0.000932603,0.000932603,0.000932603
91,556.919,0.15338,0.23591,0.84036,0.99226,1,0.995,0.995,0.12818,0.20774,0.5081,0.000924352,0.000924352,0.000924352
92,562.649,0.13923,0.28181,0.87853,0.98375,1,0.995,0.995,0.16386,0.27801,0.54417,0.0009161,0.0009161,0.0009161
93,568.394,0.1483,0.23841,0.86246,0.98428,1,0.995,0.98471,0.22359,0.3092,0.60832,0.000907848,0.000907848,0.000907848
94,574.107,0.14272,0.2178,0.85771,0.98764,1,0.995,0.995,0.18834,0.27172,0.57458,0.000899597,0.000899597,0.000899597
95,579.915,0.14046,0.24318,0.87828,0.9909,1,0.995,0.995,0.16848,0.23761,0.55487,0.000891345,0.000891345,0.000891345
96,585.707,0.13795,0.25964,0.8572,0.99144,1,0.995,0.995,0.16483,0.25081,0.54915,0.000883093,0.000883093,0.000883093
97,591.422,0.14017,0.26171,0.89541,0.99239,1,0.995,0.995,0.17719,0.25353,0.55637,0.000874842,0.000874842,0.000874842
98,597.603,0.14785,0.23763,0.83201,0.99046,1,0.995,0.995,0.18269,0.25428,0.5613,0.00086659,0.00086659,0.00086659
99,603.451,0.15464,0.25333,0.84054,0.99253,1,0.995,0.995,0.179,0.24068,0.53932,0.000858338,0.000858338,0.000858338
100,609.257,0.14638,0.23733,0.85109,0.99288,1,0.995,0.995,0.19786,0.25891,0.53418,0.000850087,0.000850087,0.000850087
101,614.971,0.14424,0.22353,0.87408,0.98776,1,0.995,0.995,0.1643,0.24777,0.53157,0.000841835,0.000841835,0.000841835
102,621.075,0.1447,0.24447,0.88099,0.98103,1,0.995,0.995,0.15586,0.26109,0.5409,0.000833583,0.000833583,0.000833583
103,627.393,0.14502,0.25076,0.86414,0.99225,1,0.995,0.995,0.1817,0.23546,0.5667,0.000825332,0.000825332,0.000825332
