epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.27495,0.78829,2.78996,1.26933,0.42013,0.48713,0.42444,0.3128,0.63058,2.90208,1.02537,0.0001667,0.0001667,0.0001667
2,17.1091,0.24713,1.20499,0.97379,0.57196,0.7608,0.80354,0.60537,0.84654,4.77788,1.23884,0.000348915,0.000348915,0.000348915
3,25.2814,0.31831,1.00692,0.9791,0.72879,0.56467,0.5811,0.48661,0.68359,4.52028,1.17826,0.000529919,0.000529919,0.000529919
4,32.9505,0.40547,1.02519,1.10153,0.67882,0.85243,0.87672,0.76502,0.64905,5.23743,1.28862,0.000709714,0.000709714,0.000709714
5,40.6099,0.38345,0.95676,0.98203,0.38699,0.71875,0.40001,0.32804,0.701,16.7602,1.4143,0.000888298,0.000888298,0.000888298
6,48.4119,0.32612,0.85078,0.9268,0.9,0.72115,0.87161,0.77777,0.43402,3.8804,0.81098,0.00106567,0.00106567,0.00106567
7,56.3333,0.33797,0.88934,0.99561,0.38781,0.78125,0.50271,0.40177,0.6583,13.1351,1.16175,0.00124183,0.00124183,0.00124183
8,64.6356,0.3593,0.72886,0.97601,0.34231,0.47115,0.23804,0.07939,1.39082,10.4554,2.40416,0.00141679,0.00141679,0.00141679
9,73.1129,0.42351,0.85344,1.02205,0.35764,0.30288,0.2293,0.08167,2.92313,20.5065,4.72636,0.00159053,0.00159053,0.00159053
10,82.3899,0.43471,0.90833,1.01373,0.18016,0.8125,0.2882,0.12186,2.22943,8.85514,3.74329,0.00161749,0.00161749,0.00161749
11,90.0859,0.38869,0.7268,0.97313,0.86364,0.30769,0.47023,0.23346,1.41082,6.37257,2.02559,0.00161199,0.00161199,0.00161199
12,98.9992,0.42551,0.70637,0.97691,0.13727,0.55529,0.21986,0.07082,2.27679,29.0482,2.80814,0.00160649,0.00160649,0.00160649
13,107.503,0.48314,0.7645,1.03995,0.20575,0.44952,0.17242,0.03847,2.78755,31.9146,3.33162,0.00160099,0.00160099,0.00160099
14,116.29,0.39658,0.65757,1.00098,0.4089,0.39448,0.38902,0.2331,1.73805,4.55548,1.9575,0.00159549,0.00159549,0.00159549
15,124.999,0.41701,0.5524,1.02493,0.66646,0.85211,0.77355,0.65894,0.54994,1.41218,0.88764,0.00158998,0.00158998,0.00158998
16,133.844,0.43606,0.7724,1.06697,0.56232,0.73787,0.61433,0.5322,0.8356,2.47153,1.11879,0.00158448,0.00158448,0.00158448
17,143.208,0.38993,0.6134,0.99616,0.44903,0.64344,0.49517,0.38935,0.45271,2.15832,0.86605,0.00157898,0.00157898,0.00157898
18,151.635,0.36333,0.71152,1.00082,0.33672,0.93029,0.63517,0.57525,0.45534,1.75695,0.93237,0.00157348,0.00157348,0.00157348
19,160.174,0.35671,0.62616,1.00733,0.29622,0.88462,0.6314,0.55438,0.48161,1.9709,0.93739,0.00156798,0.00156798,0.00156798
20,168.803,0.37743,0.62353,0.98236,0.20139,0.28846,0.20569,0.1828,1.29258,7.75583,1.26985,0.00156248,0.00156248,0.00156248
21,177.746,0.38559,0.65589,1.01004,0.22978,0.58654,0.21055,0.14056,0.7358,4.19198,1.01366,0.00155698,0.00155698,0.00155698
22,185.837,0.46082,0.69385,1.06796,0.69502,0.83914,0.81873,0.69482,0.70682,1.22292,1.18016,0.00155148,0.00155148,0.00155148
23,196.596,0.30523,0.48647,0.96605,0.96251,0.9706,0.995,0.95894,0.3463,0.53894,0.69744,0.00154598,0.00154598,0.00154598
24,205.772,0.35415,0.56513,0.98162,0.84605,0.93645,0.98063,0.78048,0.42922,0.91073,0.81369,0.00154047,0.00154047,0.00154047
25,213.854,0.36956,0.77534,1.02257,0.9129,0.8518,0.95024,0.92904,0.4836,0.74297,0.87239,0.00153497,0.00153497,0.00153497
26,221.845,0.28714,0.46813,0.95618,0.7542,0.8108,0.79772,0.75761,0.50713,1.17673,0.97702,0.00152947,0.00152947,0.00152947
27,230.497,0.33978,0.46854,0.95311,0.93521,0.73558,0.93786,0.81002,0.5352,1.13242,0.9372,0.00152397,0.00152397,0.00152397
28,239.077,0.28779,0.47366,0.95035,0.97114,0.95073,0.995,0.98056,0.21538,0.38956,0.57228,0.00151847,0.00151847,0.00151847
29,247.559,0.26922,0.45873,0.9172,0.98577,0.94087,0.995,0.98582,0.22149,0.37978,0.58549,0.00151297,0.00151297,0.00151297
30,255.137,0.36314,0.55751,1.00647,0.93318,0.84648,0.99147,0.98009,0.26879,0.52075,0.62672,0.00150747,0.00150747,0.00150747
31,262.861,0.30807,0.57008,0.94719,0.9797,0.95848,0.99167,0.96507,0.32978,0.44905,0.75341,0.00150197,0.00150197,0.00150197
32,271.337,0.27655,0.55397,0.94491,0.98386,0.96875,0.99026,0.98581,0.27449,0.40027,0.66446,0.00149647,0.00149647,0.00149647
33,279.11,0.24067,0.43006,0.92319,0.96498,0.96875,0.97521,0.97172,0.24069,0.3994,0.63091,0.00149096,0.00149096,0.00149096
34,287.881,0.25085,0.68249,0.92355,0.96755,0.92216,0.97123,0.96117,0.27242,0.47657,0.66061,0.00148546,0.00148546,0.00148546
35,296.742,0.25594,0.47466,0.94414,0.95,0.96875,0.97797,0.95892,0.30371,0.43582,0.69628,0.00147996,0.00147996,0.00147996
36,305.441,0.27103,0.43944,0.9238,0.79186,0.8125,0.89805,0.70314,0.5886,0.78489,0.86017,0.00147446,0.00147446,0.00147446
37,313.184,0.27469,0.42989,0.92082,0.83934,0.88079,0.94845,0.82292,0.48633,0.55425,0.83299,0.00146896,0.00146896,0.00146896
38,321.605,0.26723,1.44352,0.95991,0.9709,0.90625,0.985,0.96454,0.31119,0.36011,0.71266,0.00146346,0.00146346,0.00146346
39,330.112,0.33342,0.49604,1.01857,0.97004,0.86779,0.92595,0.88421,0.46707,0.77998,0.85085,0.00145796,0.00145796,0.00145796
40,337.718,0.28603,0.45366,0.98743,0.90203,0.83368,0.86372,0.86245,0.41334,0.88521,0.86314,0.00145246,0.00145246,0.00145246
